AFFINITY	SAMPLE_ID	LATITUDE	LONGITUDE	SIO2(WT%)	TIO2(WT%)	AL2O3(WT%)	FE2O3(WT%)	FEO(WT%)	CAO(WT%)	MGO(WT%)	MNO(WT%)	K2O(WT%)	NA2O(WT%)	P2O5(WT%)	LA(PPM)	CE(PPM)	PR(PPM)	ND(PPM)	SM(PPM)	EU(PPM)	GD(PPM)	TB(PPM)	DY(PPM)	HO(PPM)	ER(PPM)	TM(PPM)	YB(PPM)	LU(PPM)	SC(PPM)	V(PPM)	CR(PPM)	CO(PPM)	NI(PPM)	CU(PPM)	ZN(PPM)	GA(PPM)	RB(PPM)	SR(PPM)	Y(PPM)	ZR(PPM)	NB(PPM)	SN(PPM)	CS(PPM)	BA(PPM)	HF(PPM)	TA(PPM)	PB(PPM)	TH(PPM)	U(PPM)
OIB	3063-16.219_ILM	28.4	-14	46.1	2.38	14.24	3.95	7.9	10.45	9.25	0.15	0.63	3.1	0.53	22	51														294	346	43	218	73			10	554	32	228				243			4	6	
OIB	28828-EF7	28.75	-13.8	45.68	2.87	13.09			10.12	10.84	0.18	1.13	3.38	0.65	36.3	79	9.96	40.6	8.36	2.6	7.65	1.03	5.22	0.89	2.27	0.28	1.64	0.22	20	238	363	53	260	67	123	17	19	690	27	247	56		0.36	337	5.53	3.51	2.14	3.7	0.92
OIB	158287	28.75	-13.8	45.07	3.29	12.17			10.82	11.4	0.18	1.28	3.18	0.65															23	279	466	56	254	63	120	19	19	722	27	263	60			369				3.87	0.88
OIB	20621	28.56	-14.32	45.5														41.1	8.25																		28	668									1.98	4.12	1.02
OIB	23022	28	-15.6	45	3.7	12.1	7.13	6.55	10.8	8.59	0.17	1.04	2.62	0.84																	269	80	225	86	124		19	777	22	280	61			305					
OIB	23015	28	-15.6	45.6	3.68	10.7	4.48	8.24	11.9	10.2	0.19	0.99	2.14	0.43																	473	73	230	111	95		23	505	21	266	46			118					
OIB	16888	28	-15.6	47.69	3.33	11.01			10.73	10.95	0.272	0.3	2.03	0.38	25.2	65		39.3											31	319	777		465	99	99	19	12	463	29.1	292	32.2			133			1.77	2.39	0.65
OIB	16953	28	-15.6	47.91	4.43	12.99			10.15	7.13	0.165	1.204	2.88	0.549	42.7	107		59.8											27	361	193		150	138	113	23	21.8	628	36.4	430	55.7			210			2.24	4.28	1.23
OIB	131687	28.6502	-15.1445	45.17	3.75	9.54			9.4	14.19	0.18	0.82	1.72	0.49	90	50	15	39												214	849	57	563	87	116		0	668	33	285	38			296					
OIB	14341	28	-15.6	45.5	4.13	14.8	8.79	3.3	10.7	5.37	0.19	1.51	3	0.72																	50	53	57	111	108		39	1070	36	376	65			340					
OIB	3322-40.162_ILM	27.8	-18	46.1	3.21	15.72	3.83	7.74	9.09	7.18	0.2	1.47	3.37	0.87																			59	49	82	17	37	516	23	245							8	18	
OIB	23039	27.8	-18	45.3	3.86	14.5	5.82	7.19	10.7	6.66	0.19	1.13	3.14	0.84																	143	49	93	66	113		19	825	33	307	62			365					
OIB	3360-39.902_ILM	27.8	-18	46.7	3	17.08	8.37	2.18	7.57	4.33	0.2	2.34	5.28	1.09																			43	30	87	20	72	737	28	607							14	27	
OIB	18358	27.8	-18												33																612		298		74		24	451	22	152				269					
OIB	17542	28.1	-17.2												99	153														210	3	38	17	47			38	1123	39	448				590			13	9	
OIB	3099-25.072_ILM	28.17	-17.2												76	118														245	2	30	49	30			26	1100	46	397				468			6	3	
OIB	13767	28.5	-18															64.75	12.46																		42.89	1303									3.017		1.622
OIB	4877-LP-2	28.67	-17.9															34.28	7.22																		27.86	703.5									2.512		1.077
OIB	18338	28.5	-18												142																65		16		98		50	1395	39	304				931					
OIB	18334	28.53	-17.8												97																237		79		85		38	989	34	216				666					
OIB	18343	28.5	-18												113																87		40		91		44	1095	32	280				708					
OIB	18888	28.67	-17.9	45.7	3.09	14.32	6.11	5.27	11.06	6.58	0.16	0.88	2.77	0.45																	59	45	67	86	95		17	549	28	212	53			263					
OIB	18347	28.5	-18												95																266		110		95		20	780	30	210				600					
OIB	18330	28.5	-18												108																262		92		79		35	938	31	197				652					
OIB	13734	29	-13.6	45.34	2.81	16.03	5.19	5.32	7.75	4.05	0.16	1.43	3.59	0.6	43.58	87.54		45.65	9.03	2.64	6.92		5.57		2.4		2	0.3	17	226	13	61	34	46	98	24	33.52	730.2	25	268	53			379				13	
OIB	21279	29	-13.6	47.23	2.39	13.39	1.92	8.91	9.75	9.96	0.17	0.8	3.32	0.56	43	69														279	534	42	320	67			14	578	19	194	44			364				7	
OIB	13760	29	-13.6															24.31	5.68																		15.2	410.6									1.396		0.523
OIB	3064-13.392_ILM	28.83	-13.75	46.1	2.42	15.8	3.91	7.96	10.65	7.46	0.16	0.8	3.74	0.56	28	64														241	160	34	101	60			13	692	32	220				290			4	3	
OIB	4578-LZ105	29	-13.6												47.5	100.5		47.5	9.13	2.85	7.6		5.35		2.28		1.68	0.223									9.41	900						577					
OIB	26276	29.2	-13.5	50.37	2.15	12.56			8.52	11.4	0.15	0.63	2.73	0.32	18.7	39.1		22	5.37	1.87		0.79					1.5	0.21	25	173	560	60	394	89	107	19	15	407	21	178	30			190	4.17	2.02	0	1.87	0.539
OIB	26253	29	-13.6	45.56	2.49	12.42			10.48	11.65	0.17	0.98	3.22	0.76	56.9	113		51.4	9.61	3.03		1.14					1.9	0.26	26	217	455	55	276	79	103	21	22	878	29	225	63			470	4.92	3.55	7	5.94	1.55
OIB	28824-EL17	29	-13.6	48.34	2.6	13.13			10.03	10.24	0.17	0.83	3.24	0.54	41.6	84	10.35	41.5	8.36	2.6	7.51	1.02	5.23	0.89	2.27	0.28	1.67	0.23	20	209	420	55	255	60	120	19	12	702	23	201	44		0.19	347	5	2.77	2.75	4.49	1.18
OIB	158283	29	-13.6	45.72	3.03	12.98			10.76	10.38	0.18	1.14	3.49	0.73															18	239	372	56	229	69	108	19	20	771	27	248	61			419				4.46	1.11
OIB	26267	29	-13.6	49.61	2.4	13.19			9.22	9.74	0.15	0.73	2.89	0.32	17.9	39.4		22.7	5.56	1.95		0.84					1.55	0.22	21	201	407	53	243	89	108	20	16	420	22	187	34			217	4.45	2.33	2	1.75	0.47
OIB	26266	29	-13.6	48.12	2.51	13			9.49	10.64	0.16	0.86	3.02	0.46															23	209	435	55	266	79	106	19	17	506	23	210	42			288			1	2.62	0.701
OIB	21291	29	-13.6	49.34	2.5	13.44	2.32	8.49	9.18	9.32	0.14	0.67	3.17	0.29	23	33														274	483	41	267	72			18	407	20	178	30			275				5	
OIB	26272	29	-13.6	49.26	2.42	13.18			9.43	9.74	0.15	0.7	3	0.43	29.2	60.8		30.6	6.62	2.29		0.93					1.65	0.22	22	191	395	49	226	89	100	23	15	550	26	201	38			243	4.64	2.61	1	2.73	0.76
OIB	26259	29	-13.6	50.23	2.31	13.18			9.23	9.81	0.15	0.63	2.9	0.36	22.2	45.8		25.4	6.08	2.06		0.88					1.62	0.24	22	217	445	54	275	76	108	20	18	583	24	220	48			314	4.54	2.13	2	2.13	0.579
OIB	26262	29	-13.6	49.08	2.5	13.29			9.3	9.74	0.15	0.76	2.95	0.35	20.1	42.4		23.8	5.8	1.99		0.85					1.56	0.21	23	199	385	50	231	85	107	21	16	448	23	191	36			225	4.53	2.39	2	1.89	0.492
OIB	26260	29	-13.6	48.78	2.42	13.06			9.45	10.19	0.15	0.77	2.97	0.35	25.3	53.5		28.9	6.39	2.13		0.9					1.75	0.24	24	204	431	55	256	89	110	19	17	494	22	200	40			246	4.69	2.91	3	2.52	0.648
OIB	158276	29.01	-13.68	48.34	2.6	12.71			9.51	11.06	0.16	0.92	3.1	0.4	21	46	6.3	26.8	6.17	2.01	5.59	0.82	4.32	0.75	1.84	0.23	1.39	0.19	14	201	468	60	335	62	104	15	15	470	24	220	41		0.23	214	4.97	2.5	1.31	2.34	0.6
OIB	18352	29.01	-13.68												63																380		230		81		24	600	29	155				348					
OIB	5626-TF123	28.32	-16.5	46.35	3.15	16.58			9.2	4.71	0.2	1.9	4.44	0.94	76.7	142	12.8	55.1	10	3.06	11.4	1.4	6	1	3.1	0.34	2.5	0.37		222	42	32	21	38	116		52	1040	33	384	108		0.6	513	5.6	4.95	7	8.59	1.9
OIB	27419	28.13	-16.72	46.69	3.24	15.92			8.33	4.32	0.22	1.79	4.47	1.29	81	170	21.5	89	18	5.62	14	2.1	10	1.8	4.7	0.53	3.1	0.43	22.8	190	56	11	5	5	124		39	1590	46	314	97		0.32	808	7.1	5.85	10	5.8	1.3
OIB	104631	28.5	-16.3	45.13	3.46	12.54			12.42	7.8	0.266	0.519	2.86	0.638	53.7	106.7		50.55	9.462	2.869	7.92		5.68		2.5		1.852	0.256	30	391	561		212	119	107	18.9	14.5	762	27.6	277	78.6			575			2.97	5.8	1.25
OIB	23019	28.3	-16.6	45.6	4.18	14.8	8.79	3.3	10.7	5.37	0.19	1.61	3	0.72																	50	53	67	111	108		39	1070	36	376	65			340					
OIB	13764	28.3	-16.6															52.55	10.21																		24.22	867.8									2.662		1.04
OIB	3151-19.654_ILM	28.3	-16.6	47.65	2.92	18.05	3.43	5.78	8.15	4.28	0.21	2.34	4.92	1.13																210	10	10	3	10		18		1085		420				820					
OIB	18315	28.3	-16.6												123																5		4		99		50	1072	39	329				816					
OIB	18319	28.3	-16.6												70																5		6		86		34	919	29	209				568					
OIB	5618-TF20	28.27	-16.55	44.99	3.7	15.43			10.93	6.47	0.19	1.83	4.04	1.01	74	144	17.2	66	12	3.6	9.4	1.4	7	1.2	3.3	0.39	2.3	0.31	30	255	195	36	72	58	104		43	1170	37	338	104		0.36	570	7.2	5.9	6	7.5	1.8
OIB	5592-TF80	28.13	-16.61	45.03	3.61	16.01			9.24	4.99	0.22	1.63	4.23	0.97	66.3	133.6		74.3	12.2	3.06		1.34		1.45			4.78		25.3	186	56	32	16	30	124		30	932	35	379	108		0.37	596	8.6	6.31	7	7	2.6
OIB	5594-TF82	28.14	-16.62	45.15	3.64	16.01			9.46	5.09	0.22	1.7	3.9	0.95	69.6	143		58	11.7	3.46		1.32		1.3			4.83		26.9	191	40	33	12	35	119		41	1090	36	381	106		0.4	615	8.3	6.24	5	9	2.4
OIB	5586-TF57	28.09	-16.61	45.93	3.41	16.39			9.01	4.74	0.21	1.85	4.11	1.02	57.3	114	11.9	54.7	10.8	3.71	12.2	1.6	6.5	1.1	3	0.35	2.1	0.36	26.3	174	29	32	10	23	122		43	1050	38	406	114		0.3	557	6.3	4.25	4	4.79	0.61
OIB	5645-TF71	28.23	-16.69	50.11	2.71	17.93			7.46	3.33	0.19	2.54	5.9	0.98	77.4	149		72	12.1	3.1		1.35		1.52			5.1		19.8	129	82	17	5	9	121		60	1050	39	425	125		0.66	778	8.5	6.8	10	9.7	3.4
OIB	27436	28.14	-16.62	45.14	3.64	16.03			9.48	5.09	0.22	1.67	4.06	0.96	7.41	163		62.6	12	3.79		1.39		1.16			5.06		29.3	191	42	32	11	30	115		40	1040	36	371	104		0.49	573	9	6.37	3	7	2.5
OIB	27429	28.28	-16.77	47.16	3.26	17.07			8.75	4.27	0.19	2.06	5.13	1.26	80	153	18	70	13	4.01	11	1.6	7.9	1.4	3.7	0.43	2.6	0.35	22.4	179	39	28	4	14	119		45	1120	40	364	106		0.48	691	7.4	5.91	8	8.4	2.1
OIB	27428	28.24	-16.76	49.19	2.76	17.64			7.52	3.61	0.19	2.52	5.86	0.85	84.7	156	14.2	58.3	10.6	3.45	12.6	1.6	6.6	1.2	3.5	0.43	2.6	0.43		153	41	20	9	14	110		70	994	37	455	120		1	684	8	6.06	8	11.1	2.7
OIB	27443	28.28	-16.55	45.01	3.63	16.67			9.95	4.8	0.2	1.71	4.25	1.13	77	152	18.2	73	14	4.41	11	1.6	7.7	1.4	3.5	0.44	2.4	0.34		219	43	27	15	31	116		44	1400	39	310	108			637	7	6.21	6	5.9	1.4
OIB	27442	28.27	-16.55	45.16	3.63	16.71			9.92	4.8	0.2	1.65	4.4	1.17	82	159	19	77	15	4.67	11	1.6	8.1	1.4	3.6	0.46	2.6	0.35		219	63	28	16	27	118		35	1370	41	305	108			648	7	6.27	5	5.7	1.3
OIB	18296	28.3	-16.6												73																262		101		101		34	756	31	182				417					
OIB	18301	28.3	-16.6												80																127		70		80		31	745	31	184				536					
OIB	2434-B1	28.3	-16.6	46.21	3.37	17.14	5.22	5.23	9.25	4.48	0.17	1.97	5.19	1.26	51.69	106.9		51.11	10.52	3.27	8.32		6.13		2.42		1.91	0.28	15	211	5	20	5	13	108	9	42	1139	31	312	77			622				5	
OIB	18989	28.3	-16.6	46.21	2.94	12.73			9.84	9.81	0.17	1.41	3.44	0.71	40.7	84.8	9.7	34.19	6.81	2.47	6.43	0.77	4.38	0.71	1.74	0.25	1.36	0.2		255	333	54	207				33	780	28	251	73			507			12	3	0
OIB	5643-TF45	28.3	-16.6	47.01	3.41	16.99			8.91	4.32	0.19	1.98	4.75	1.29	82.6	180		73.4	12.9	4.65		1.48		1.41			4.8	3.8	23.8	186	93	25	5	13	126		43	1190	41	353	103		0.53	722	8.1	5.6	6	7	2.4
OIB	18293	28.3	-16.6												88																98		8		102		51	1149	26	306				871					
OIB	96393	15.22	-23.22	45.85	4.42	15.12			11.77	5.65	0.19	1.17	3.26	0.84																	28.4	42.5	41	121.7		21.8	15.8	1213.9						837.1			0.2	10.1	
OIB	24680	15.15	-23.2	45.64	3.21	15.43			11.73	7.46	0.17	1.42	3.21	0.51	35	70		35												271	124		120				31	758	23	205	56			498			1.71	2	0.77
OIB	96472	16.75	-22.88	45.36	2.45	13.47			12.02	10.09	0.16	0.91	2.31	0.3																	327.2	76.9	196.6	53.1		15.7	18.4	494.9						253.3			0	0	
OIB	96425	15.05	-23.62	46.18	3.17	13.96			12.45	7.7	0.15	1.1	2.75	0.67																	264	66.9	131.7	81.4		19.6	40.4	834.8						483.5			0	0	
OIB	96377	17.13	-25.15	46.89	3.44	14.25			12.25	6.64	0.17	2.01	2.98	0.58																	415.2	65.5	163	70.3		19.4	41.5	1095.5						554.4			0	0	
OIB	96455	16.87	-24.93	45.14	4.49	14.04			11.69	6.31	0.16	1.47	2.53	0.58																	75.6	57.4	83.3	106.1		19.7	17.8	828.9						281.9			0	0	
OIB	34204	7.39	-151.88	45.1	3.24	14			9.6	9.04	0.15	0.59	3.66	0.48	24	49		28													254		231				6	448	27	210	26			286			7	1	
OIB	34209	7.34	-151.61	47.7	1.73	17			10.08	7.58	0.15	0.45	3.51	0.2	11	28		17													125		69				5	334	24	110	10			112			1	1	
OIB	143078	7.44	-151.87	45.24	2.87	14.77			9.37	8.46	0.15	0.79	2.87	0.33	18.1	34.9	4.9	21	5	1.9	5.3	0.8	4.5	0.8	2	0.3	1.5	0.2	20.7	284.5	259	54.9	232.4	100.5	106.6	18.6	5.8	455	18.1	170.7	22.8		0	194.4	4.4	1.8	1.6	2	1.2
OIB	34225	5.3	-162.93	46.4	4.18	13.1			11.22	7.48	0.16	1.15	2.53	0.43	40	79		40													104		106				23	975	32	299	39			294			4	4	
OIB	34221	6.9	-158.25	49.4	3.25	13.3			10.99	9.56	0.17	1.25	3.28	0.47	33	59		29													475		345				28	535	25	190	41			521			3	7	
OIB	7081-P21	6.9	-158.25	47.1	3.45	15.1			10.61	6.92	0.16	1.18	3.14	0.55	38	77		40	923	288			594		259		193	243			259		99				22	723	27	303	46			468			4	5	
OIB	99026	-46.5	52.15	47.09	3.026	14.08			11.11	7.29	0.168	1.32	2.74	0.45																	199.9		114.5	76.3			32.1	535.9						254.6			5.5	1	
OIB	254-1801	19.75	-155.93												21.3	43.8	5.7	24.2	4.67	1.64		0.69	3.8	0.68			1.7	0.28											19.3	148		1.34			3.14		2.55	1.79	0.52
OIB	9-67-118	19.7	-155.9	46.04	1.89	13.73	2.69	9.5	10.36	12.22	0.18	0.66	2.3	0.21		32				1.42		0.56					1	0.23	36	260	920	78	230	78	85		30	375	11	116				240	2.5	1.2		1.5	
OIB	444-HU-24	19.75	-155.99	45.59	2.38	14.08			9.71	9.47	0.18	0.97	2.97	0.31	20.73	41.91	5.41	22.78	5.12	1.69	5.21	0.79	4.39	0.82	2.15	0.3	1.78	0.27	26.6	305	361		194		91.4		24.46	506	24.54		26.64			313	3.68	1.66	1.85	1.654	0.48
OIB	5219-HU-18	19.61	-155.83	46.23	2.19	14.08			10.25	9.63	0.18	0.9	2.87	0.27	18.62	38.49	5.03	21.08	4.97	1.6	4.87	0.75	4.24	0.81	2.09	0.3	1.73	0.27	27.1	324	409		217		96.2		22.44	452	22.87		23.32			290	3.37	1.49	1.78	1.56	0.44
OIB	26196	19.85	-155.95	46.9	2.46	14.48			10.4	7.66	0.18	1.02	2.98	0.31	17.65	36.19	4.8	19.73	4.6	1.48	4.69	0.72	4.1	0.78	2.08	0.29	1.72	0.26	33.1	347	232		134		95.4		16.84	406	22.88		21.88			262	3.12	1.38		1.3	0.31
OIB	9110	19.8	-156.1	46.06	1.8	13.02	3.33	8.89	11.25	12.23	0.18	0.66	2.24	0.21															38	370	1200	70	550	150	80		27	375	14	117				250					
OIB	9109	19.8	-155.95	46.52	2.28	14.78	2.72	9.9	10.34	8.92	0.19	0.89	2.81	0.29															26	400	410	45	280	110	90		34	435	15	139				350					
OIB	9093	19.75	-155.9	46.62	2.37	14.72	2	10.71	10.04	9.1	0.19	0.91	2.82	0.27															30	260	510	61	130	61	94		35	445	26	153				300					
OIB	8056	19.65	-156	46.88	2.03	13.69	2.41	9.86	10.81	9.78	0.17	0.68	2.47	0.24	12.5	29			4.38	1.43		0.69					1.88	0.26	30.1		560					19	15	359	21	166	16			200	3			1.2	
OIB	9188	19.7	-155.85												31	63		29	7.3	2.21		1.01					2.1	0.32	18.7		116	40.9			138									410	4.6	2.5		2.8	
OIB	9119	19.9	-156	46.01	2.05	14.83	2.36	10	10.95	9.66	0.18	0.73	2.38	0.34															41	350	660	70	320	140	92		24	395	17	127				255					
OIB	9113	19.65	-156	46.15	2.09	12.81	3.6	8.78	10.94	11.73	0.18	0.84	2.29	0.26															38	320	1000	85	480	130	81		28	405	20	127				400					
OIB	9118	19.6	-155.95	46.42	2	14.32	3.41	9.41	10.3	9.98	0.19	0.82	2.68	0.26															31	350	540	70	400	120	88		32	400	18	132				280					
OIB	9128	19.8	-155.9	47.47	2.67	15.6	4.89	7.9	10.46	5.54	0.2	1.14	3.34	0.46															31	500	180	50	95	90	87		36	510	28	179				455					
OIB	9126	19.7	-155.85	48	2.55	16.33	6.67	5.76	8.61	5.9	0.19	1.48	3.98	0.52															19	310	180	40	100	55	90		44	560	28	200				470					
OIB	566-JP15	19.49	-155.51												44	117	13.7	45	8.7	2.4		1.37	8	1.43		0.68	4.6	0.68											42.5										
OIB	1478	19.33	-155.23	51.1	2.65	13.8			10.7	7.3	0.17	0.48	1.66	0.28	12	52															274		111	117	117		16	373	27	163	15			132					
OIB	448-1960	19.5	-155.3												16.4	36.5		25	6.06	2.12		0.93					1.9	0.26	27.1				270				6	329	29	166				95	4.39		1.32	1.49	0.51
OIB	770-TLW68-12	19.44	-154.95	48.03	1.92	10.34	1.2	10.18	8.33	17.52	0.17	0.33	1.69	0.18	9.2	24.3		17.2	3.85	1.47			0				1.57	0.19	25.4	244	812	82.7	512		124	15			13.9				0.16	110	3.2		2.6		0.19
OIB	1580-TLW68-6	19.4	-154.9	51.06	3.05	13.67	3.18	9.18	9.99	6.01	0.18	0.55	2.53	0.3	15.7	42.3		32.7	6.73	2.43			7.2				2.79	0.32	32.3	400	47	49	62		161	24.1			25.2				0.12	165	5.3		4.4		0.35
OIB	2536	19.37	-155.19	50.35	2.66	13.83			10.79	6.57	0.17	0.51	2.36	0.27																305	158		104		118		9	368	26.5	172	17.9								
OIB	10315	19.45	-154.95																								6.1		40	370	170	46	130	210		16		700	63	230				220					
OIB	10311	19.5	-155.25																								7.5		40	400	100	48	100	200		18		690	70	290				250					
OIB	443-1967	19.5	-154.83	50.45	2.64	13.65			11.13	7.6	0.17	0.54	2.31	0.26																	411		115	126	116		9	399	26	172	15			132					
OIB	1582-1924	19.4	-155.27	49.71	2.68	13.65	1.19	9.72	11.59	8.24	0.17	0.54	2.26	0.25	16.8	41.7	5.96	26.3	6.29	2.16	6.35	0.91	5.31	1	2.59	0.362	2.1	0.287									10.9	413	28.5	187	19.9		0.099	148	4.6			1.36	0.463
OIB	9264	19.4	-155.27	50.2	2.72	13.73	2.65	8.8	11.56	7.2	0.17	0.57	2.25	0.28													4		40	500	400	50	200	200		30		700	90	250				300					
OIB	342-1952	19.4	-155.27	49.69	2.721	13.51	1.85	9.59	11.17	7.03	0.17	0.554	2.4	0.272																322	280		127		122		10.5	383	24.7	183	22								
OIB	959-JP14	19.34	-155.56												17.8		4.6	20.7	4.4	1.48		0.66	4	0.68		0.27	1.63	0.24											18.8										
OIB	1485	19.4	-155.27	49.4	3.16	13.7			11.5	6.82	0.17	0.72	2.53	0.35	24	56															221		97	135	127		19	460	25	198	21			197					
OIB	8062	20.23	-155.8	47.52	3.29	15.95	7.16	5.3	8.96	5.18	0.19	1.29	3.56	0.64	38	85			11.8	3.5		1.49					3.08	0.42	23.2		204					24	26	650	39	351	36			340	8.5		5	2.9	
OIB	1437	20.23	-155.8	48.08	2.96	14.94			11.47	6.56	0.18	0.59	2.54	0.39	19.5	48.1		28.6	7.33	2.39		1.06		1.2			2.28	0.3	31.5		214	44					7.8	549						227	5.1	1.28		0.9	
OIB	72-MG7A	20.23	-155.8	50.56	3.71	13.32			8.52	4.23	0.21	1.05	3.02	0.56		70.3		46.1	11	3.62	9.6		8.64		4.04		3.44		28.8		65	42					20	460					0.205	290		1.9			
OIB	18-W4	20.23	-155.8	50.08	2.28	13.91			11.01	8.7	0.17	0.11	2.19	0.24		23.3		16.6	4.74	1.76	5.49		4.87		2.47		2.01		31	286			146	110			0.96	290					0.015	65					
OIB	215-115-25	19.6	-155.7	47.84	3.62	13.77			10.37	5.57	0.2	0.96	2.52	0.47	26.2	67		37.1	8.73	2.88		1.27		1.2			2.31	0.33	27.2	346	59	48.9	53		129	23.5	18.5	590	31	271	31.1			309	6.3	1.65		1.6	
OIB	1043	19.6	-155.7	47.23	2.31	12.64			11.63	11.23	0.16	0.5	1.68	0.27	14	36.6		21.3	5.24	1.87		0.82		0.7			1.61	0.2	32.3	252	761	60.6	296		97	18.8	9	455	20	152	17.1			174	3.7	0.87		0.4	
OIB	26147-SR0148-8.50	19.74	-155.05	45.43	1.82	8.61		9.31	8.52	20.49	0.18	0.09	1.17	0.19	7.59	18.6	2.91	13.7	3.7	1.24	3.85	0.621	3.43	0.64	1.6	0.222	1.3	0.175	22.5	178	1532		802		102	14	0.531	211	18.1	102	8.71			62.9	2.57	0.664	0.91	0.526	0.152
OIB	28103-SR0141-7.90	19.74	-155.05	48.5	3.11	13.89		8.24	10.98	7.14	0.18	0.35	2.24	0.34	16.9	40.9	6.18	28.4	7.28	2.48	7.52	1.19	6.46	1.25	3.03	0.415	2.45	0.334	30.1	276	193		102		116	22	3.48	416	34.1	210	19.8			166	5.35	1.37	1.17	1.24	0.3
OIB	169866	19.74	-155.05	45.79	4.04	15.15		10.35	9.82	6.26	0.2	0.78	2.21	0.39		54														314	113		68		110	26	10.2	547	30.4	226	24.6			267			2		
OIB	1083	19.83	-155.42		2.81	14.3			11.2	6.3	0.18	0.71	2.66		19.9	46.1		32	6.97	2.49		0.92	5.7				2.16	0.29	31	336	150	47	105					610		225				190	5.1	1.3		1.2	0.2
OIB	438-MU-8	20	-155.25	47.02	2.74	12.19			11.24	10.76	0.19	0.18	1.39	0.29	14.3	35.9		22.6	5.91	2.15		0.86		0.9			1.9	0.25	36.4	297	866	61	239		116	21	0.5	355	27	182	16.1			161	4.2	1.02		0.7	
OIB	223-H-13	19.5	-155.7	47.5	3.31	14.55			11	5.91	19	0.67	2.56	0.4	21.8	53		32	7.7	2.7		1.07		1			2.37	0.32	29.4	327	47		65		137	23.1	6.4	552	29.9	246	26.7			260	5.6	3		1.9	
OIB	4-KI-7	19.83	-155.42	45.71	3.41	13.41			11.08	8.68	0.19	0.66	2.17	0.38	19.2	50		30	7.48	2.59		1.13		1.1			2.16	0.3	30.7	250	373	56	172		104	23	9.3	508	31	235	23.5			242	5.5	1.4		1	
OIB	2186	19.83	-155.42	50.58	2.58	16.88			6.6	3.81	0.21	1.95	5.11	0.87	49.9	119		62	13.5	4.56		1.75					3.31	0.44	8.8	68	2.4		8		129	21.7	36	1265	43	495	63.6			639	10.1			3.9	
OIB	26194	19.83	-155.42	51.65	2.32	17.1			6.35	3.57	0.22	2.11	5.05	0.95	60.91	127.02	17.11	71.56	15.46	4.71	13.57	1.87	9.79	1.73	4.48	0.61	3.45	0.52	7.9	37.6					130		35.92	1219	50.54		64.05			675	10.69	3.53		3.84	0.96
OIB	87-MK-1-8	19.85	-154.58	50.76	2.7	11.34			7.95	10.93	0.17	0.63	2.29	0.34	16.2	41.1		27.5	7.22	2.44		0.98					2.83	0.4	25.4	276	593		441		145	19.4	11.1	273	34.6	234	18.8			133	5.6				
OIB	14-K5-05	19.47	-155.58							10.04		0.38			8.39	21.2	3.17	15.78	4.43	1.58	5.1	0.79	4.55	0.82	2.37	0.33	1.83	0.27									5.76	303	22.1	126	9.5			78.69				0.508	0.175
OIB	10321	19.5	-155.6																								2		20	300	200	40	100	300		10		500	60	200				80					
OIB	209-K7-20	19.16	-155.57							11.33		0.09			8.35	20.73	3.1	15.97	4.47	1.68	5.11	0.85	4.63	0.94	2.49	0.37	2	0.32									0.87	282	21.7	109	9.5			56.02				0.5349	0.1606
OIB	160-183-14	18.9	-155.7	51.95	2.48	13.8		10.69	10.82	13.34	0.17	0.38	2.37	0.2	9.08	23.1	3.53	16.8	4.88	1.72	5.61	0.86	5.08	0.95	2.53	0.36	2.15	0.29									5.3	245	26.1	111	9.2			75	3.42	0.58		0.63	0.24
OIB	199-K7-13	19.38	-155.59							16.04		0.31			6.71	17.36	2.67	12.81	3.66	1.31	4.53	0.69	4.02	0.73	1.99	0.26	1.6	0.21									4.49	223	18.9	104	7.9			58.4				0.4616	0.1561
OIB	967	18.9	-155.7	52.5	2.51	13.71		11.46	9.89	6.22	0.18	0.38	2.47	0.22	8.49	22.3	3.53	16.6	4.82	1.71	5.38	0.83	5.05	0.96	2.55	0.37	2.17	0.31									4.8		27.7		8.3			67	3.34	0.52		0.51	0.17
OIB	203-K7-07	19	-155.65							12.44		0.29			6.92	18.52	2.63	13.24	3.88	1.45	4.46	0.71	4.27	0.8	2.2	0.29	1.81	0.23									3.82	290	19.4	113	7.6			56.39				0.471	0.145
OIB	208-K7-34	19.48	-155.92							19.77		0.13			5.75	14.87	2.19	11.37	3.11	1.17	3.78	0.59	3.5	0.69	1.88	0.26	1.48	0.2									1.02	208	16.2	83	6.1			40.16				0.3857	0.1184
OIB	5806	20.5	-156.67	48.88	2.55	14.16	4.75	6.99	8.87	9.01	0.15	1.01	3.02	0.5	26.5	47.7		31.5	7.87	2.68		1.24					2.57	0.33	22.6	249	380		312		249		14	464	46	203	21.6			250	4.69			1.18	
OIB	811-112	20.5	-156.67	52.25	2.73	15.99	3.44	6.84	8.51	5.18	0.15	1.15	2.97	0.63	69.2	154		93	21.9	7.37		3.1					6.81	0.94	20.8	240	160		123		121		23	547	75	275	26.2			926	5.99			1.8	
OIB	8400	20.5	-156.67	50.5	3.1	15.61			8.12	5.25	0.16	1.42	3.68	0.73	36.3				11.3								5.2						120				20	465	41	318	39			423					
OIB	6861	22	-159.5	45.64	1.84	12.49			9.93	11.36	0.17	0.67	2.25	0.32	20.3	35.3		25.5	6.3	2	8.5	0.8		0.6		0.2	1.3	0.11	27	275	701	56.9	821	93	123		13	478	24	110	31			384	2.5	1.8		1.4	0.6
